Date,close_price_.AEX,close_price_.AORD,close_price_.BFX,close_price_.BVSP,close_price_.FCHI,close_price_.FTSE,close_price_.GDAXI,close_price_.HSI,close_price_.IBEX,close_price_.KS11,close_price_.MXX,close_price_.N225,close_price_.NSEI,close_price_.SPX,close_price_.SSEC,close_price_.SSMI,rv5_.AEX,rv5_.AORD,rv5_.BFX,rv5_.BVSP,rv5_.FCHI,rv5_.FTSE,rv5_.GDAXI,rv5_.HSI,rv5_.IBEX,rv5_.KS11,rv5_.MXX,rv5_.N225,rv5_.NSEI,rv5_.SPX,rv5_.SSEC,rv5_.SSMI
2004-06-29,346.35,3517.3,2464.21,20800.84,3756.48,4509.5,4075.57,12116.3,8139.9,778.72,10137.42,11860.81,1518.3,1136.58,1408.833,5687.1,3.37E-05,5.88E-06,3.33E-05,8.01E-05,2.72E-05,1.73E-05,3.38E-05,6.63E-05,2.03E-05,0.000188073,1.12E-05,3.49E-05,0.000203708,1.57E-05,0.000194387,2.81E-05
2004-06-30,345.13,3530.8,2470.66,21148.91,3732.99,4468,4058.2,12285.75,8110.8,785.79,10281.82,11858.87,1505.6,1141.63,1399.162,5619.1,2.49E-05,6.58E-06,2.14E-05,0.000182977,3.05E-05,2.18E-05,2.30E-05,8.90E-05,1.79E-05,0.00012813,1.73E-05,3.13E-05,0.000205446,2.93E-05,0.000100216,3.28E-05
2004-07-01,345.87,3535.6,2469.09,21348.67,3716.2,4437,4035.3,NA,8065.9,778.06,10260.96,11896.01,1537.2,1128.7,1440.982,5625.7,5.80E-05,3.34E-06,3.84E-05,0.000108614,5.21E-05,3.90E-05,6.53E-05,NA,6.20E-05,0.000266396,1.35E-05,4.72E-05,0.000114912,4.56E-05,0.000207975,3.18E-05
2004-07-02,341.83,3529.2,2459.34,21568.36,3685.06,4407.5,4004.37,12220.13,8037.9,755.46,10240.84,11721.49,1537.5,1124.86,1441.727,5606.9,3.73E-05,4.80E-06,3.25E-05,0.000113147,3.97E-05,2.52E-05,8.61E-05,9.03E-05,5.16E-05,0.000148257,2.37E-05,4.10E-05,0.000251623,2.97E-05,0.000125567,3.41E-05
2004-07-05,339.84,3533.6,2450.44,21670.29,3688.18,4405,3997.5,12252.11,8060.1,756.72,10222.45,11541.71,1526.85,NA,1444.473,5588.2,1.27E-05,1.10E-05,2.81E-05,6.43E-05,1.12E-05,8.46E-06,1.55E-05,4.71E-05,1.36E-05,0.000237862,6.64E-06,3.70E-05,0.000163391,NA,6.27E-05,1.73E-05
2004-07-06,335.92,3552.8,2435.19,21188.05,3660.68,4371.4,3948.5,12284.08,8030.5,758.48,10121.12,11475.27,1558.25,1116.43,1450.324,5549.9,5.17E-05,8.86E-06,3.12E-05,5.57E-05,3.67E-05,2.80E-05,5.58E-05,7.11E-05,3.83E-05,0.000196073,1.12E-05,3.93E-05,0.000108659,2.99E-05,7.16E-05,5.44E-05
2004-07-07,334.79,3558.1,2451.76,21171.23,3660.4,4355,3930.8,12320.26,8076.9,761.88,10042.02,11384.86,1566.8,1117.92,1438.834,5541.4,3.88E-05,5.93E-06,2.88E-05,6.67E-05,3.93E-05,3.62E-05,7.36E-05,9.01E-05,4.31E-05,0.000203093,9.72E-06,9.44E-05,0.000237087,1.87E-05,4.20E-05,2.61E-05
2004-07-08,335.56,3560.2,2443.89,20887.39,3670.41,4379,3936.91,12119.75,8077.8,743.82,9975.12,11322.23,1518.15,1108.92,1437.603,5578.7,4.38E-05,1.18E-05,3.65E-05,6.44E-05,5.40E-05,4.04E-05,7.93E-05,0.000118868,4.77E-05,0.000244211,2.25E-05,6.30E-05,0.001220206,4.25E-05,4.31E-05,3.35E-05
2004-07-09,335.94,3558,2456.26,NA,3668.48,4390.6,3922.38,12202.26,8041.3,747.47,10042.34,11423.53,1553.2,1112.68,1430.905,5548.1,4.04E-05,7.31E-06,2.74E-05,NA,3.53E-05,2.45E-05,8.37E-05,6.54E-05,2.90E-05,0.000161045,1.30E-05,4.94E-05,0.00041405,4.27E-05,5.93E-05,2.76E-05
2004-07-12,333.53,3554.6,2447.27,21532.23,3651.63,4363.2,3888.5,12191.01,8067,746.26,10090.42,11582.28,1556.95,1114.2,1397.148,5529.2,2.26E-05,3.27E-06,2.34E-05,8.54E-05,3.33E-05,2.10E-05,4.25E-05,3.52E-05,5.89E-05,0.000201116,9.83E-06,5.52E-05,0.000222489,3.09E-05,8.28E-05,2.29E-05
