"date","rate_prop","rate_prop2","tariff_prop","unemp_prop","inf_p_prop","inf_n_prop","inf_prop","war_prop","trade_p_prop","trade_n_prop","house_prop_d","house_prop","car_prop_d","chip_prop_d","ship_prop_d","inf_prop_d","trade_prop_d"
2015-03-11,0,0,0,0,0.000893655049151028,0,0.000893655049151028,0.00625558534405719,0.000893655049151028,0.000893655049151028,0,0,0,0,0,0.000893655049151028,0
2015-03-12,0.00440528634361234,0.00440528634361234,0,0,0,0,0.00440528634361234,0.013215859030837,0,0,0,0,0,0,0,0,0
2015-03-13,0,0,0,0,0.0138888888888889,0,0.0138888888888889,0.0277777777777778,0.0138888888888889,0,0,0,0,0,0,0.0138888888888889,0.0138888888888889
2015-03-14,0,0,0,0,0,0,0,0.0267175572519084,0,0,0,0,0,0,0,0,0
2015-03-15,0,0.0048661800486618,0,0,0,0,0,0.0170316301703163,0.0072992700729927,0,0.0024330900243309,0.0024330900243309,0,0,0,0,0.0072992700729927
2015-03-16,0,0.0032,0,0,0,0.0016,0.0032,0.0032,0,0,0,0.0016,0,0,0,-0.0016,0
2015-03-17,0,0,0,0,0,0,0,0.00279329608938547,0.00558659217877095,0,0,0,0,0,0,0,0.00558659217877095
2015-03-18,0,0.000836820083682008,0,0.000836820083682008,0,0,0.000836820083682008,0.00502092050209205,0.000836820083682008,0.000836820083682008,0,0,0,0,0,0,0
2015-03-19,0,0,0,0,0.0078125,0,0.0078125,0,0,0.0078125,0,0,0,0,0,0.0078125,-0.0078125
2015-03-20,0,0,0,0,0.0010351966873706,0,0.0020703933747412,0.0134575569358178,0.0020703933747412,0,0,0,0,0,0,0.0010351966873706,0.0020703933747412
2015-03-21,0,0.00302114803625378,0,0,0,0,0,0.0211480362537764,0,0,0,0,0,0,0,0,0
2015-03-22,0,0,0,0,0,0,0,0.00681818181818182,0,0,0.00227272727272727,0.00454545454545455,0,0,0,0,0
2015-03-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-24,0,0,0,0,0,0,0,0.00917431192660551,0,0,0,0,0,0,0,0,0
2015-03-25,0,0,0,0,0,0,0,0,0.00162074554294976,0,0,0.00162074554294976,0,0,0,0,0.00162074554294976
