"date","T10Y3M","TEDRATE","rv5_.AEX","rv5_.BFX","rv5_.BSESN","rv5_.FCHI","rv5_.FTSE","rv5_.GDAXI","rv5_.HSI","rv5_.IBEX","rv5_.KS11","rv5_.N225","rv5_.NSEI","rv5_.SPX","rv5_.SSEC","rv5_.SSMI","rv5_.STOXX50E","diff_data.close_price_.AEX","diff_data.close_price_.BFX","diff_data.close_price_.BSESN","diff_data.close_price_.FCHI","diff_data.close_price_.FTSE","diff_data.close_price_.GDAXI","diff_data.close_price_.HSI","diff_data.close_price_.IBEX","diff_data.close_price_.KS11","diff_data.close_price_.N225","diff_data.close_price_.NSEI","diff_data.close_price_.SPX","diff_data.close_price_.SSEC","diff_data.close_price_.SSMI","diff_data.close_price_.STOXX50E","diff_data.DTB3","diff_data.CNY","diff_data.EUR","diff_data.SGD","diff_data.JPY","diff_data.HKD","diff_data.NZD","diff_data.GBP","diff_data.Gold","diff_data.CrudeOil","diff_data.NatGas","diff_data.Soybean","diff_data.Cotton"
"2008-12-02", 2.62, 2.62,0.026161460,0.018936367,0.026355417,0.025749388,0.027378367,0.028329949,0.016786215,0.021745436,0.022298229,0.028025702,0.037824463,0.033038780,0.017723233,0.029210204,0.026131207, 2.191247e-02, 1.515130e-02,-1.144894e-02, 2.501975e-02, 1.728466e-02, 4.040634e-02,-5.111037e-02, 3.923297e-02,-3.496252e-02,-6.564474e-02,-9.399586e-03, 3.984514e-02,-2.480476e-03, 1.010781e-03, 3.005083e-02,-1.541507e-01,-8.137879e-04,-7.098383e-03,-1.372594e-03,-7.472645e-04, 5.160491e-05, 6.745388e-03,-7.318170e-03, 8.612448e-03,-4.822214e-02,-2.763460e-02,-2.271466e-02,-1.109000e-03
"2008-12-03", 2.65, 2.65,0.026216731,0.018114801,0.026687994,0.023483420,0.019579351,0.028919302,0.016433715,0.020186728,0.020367179,0.018094778,0.026836580,0.033214936,0.017425097,0.024107945,0.024892790, 3.233431e-03, 2.321356e-02, 9.367136e-04, 3.141273e-03, 1.404833e-02, 6.137797e-03, 1.354444e-02, 7.032251e-03,-1.955550e-05, 1.769795e-02,-5.080679e-04, 2.418498e-02, 3.896818e-02, 1.276078e-02, 6.250364e-03,-1.098612e+00,-5.816828e-04, 4.331910e-03,-9.161105e-04,-4.173584e-03, 1.032018e-04,-3.190992e-03, 1.116654e-02,-1.612834e-02,-3.626631e-03,-1.205866e-02, 3.621006e-03, 8.872472e-04
"2008-12-04", 2.53, 2.53,0.035166191,0.024031105,0.019374287,0.033917591,0.028513137,0.036850536,0.017568409,0.030497049,0.020408797,0.018141499,0.018855662,0.029897308,0.023605868,0.026024239,0.033497642, 0.000000e+00, 1.501591e-03, 5.367202e-02, 3.623484e-03, 4.174804e-04, 1.555836e-03,-5.821754e-03,-1.375423e-03,-1.594704e-02,-1.002749e-02, 4.833385e-02,-2.989752e-02, 1.918692e-02, 7.981651e-03, 3.451411e-03, 0.000000e+00, 1.032254e-03,-1.340723e-02,-3.081667e-03,-5.052959e-03,-7.740038e-05,-8.583744e-03,-5.410149e-04,-6.524883e-03,-6.900820e-02,-5.339345e-02,-2.315765e-02,-7.934078e-02
"2008-12-05", 2.65, 2.65,0.026443771,0.020200322,0.028738754,0.027870020,0.025131534,0.033096223,0.016286590,0.019575648,0.021053693,0.015385220,0.027487088,0.033611129,0.022388100,0.020999857,0.029588292,-5.107113e-02,-2.870644e-02,-2.908155e-02,-5.900726e-02,-3.485549e-02,-5.017491e-02, 2.458901e-02,-4.516122e-02, 2.107700e-02,-8.496537e-04,-2.675356e-02, 3.828291e-02, 8.070354e-03,-2.116362e-02,-5.524141e-02, 0.000000e+00,-7.265911e-05, 1.459193e-02, 7.877117e-04,-6.487912e-03,-3.870244e-05, 2.521300e-02, 1.258648e-02,-1.756631e-02,-6.773414e-02,-4.678123e-02,-3.449699e-02,-5.755380e-02
"2008-12-08", 2.74, 2.74,0.021501186,0.014690813,0.022395424,0.018717131,0.045626922,0.033222357,0.021699378,0.015207695,0.020291649,0.021540543,0.023716007,0.027651763,0.019068561,0.018839931,0.055513179, 7.580211e-02, 5.193464e-02, 2.178175e-02, 8.033780e-02, 6.568465e-02, 8.165627e-02, 8.303419e-02, 6.392606e-02, 7.253013e-02, 5.067264e-02, 2.531781e-02, 3.419960e-02, 3.495848e-02, 5.075779e-02, 8.350004e-02, 4.054651e-01,-6.105450e-04,-2.250447e-02,-1.394188e-02, 6.380124e-03,-1.161163e-04,-3.758505e-02,-1.528718e-02, 2.226856e-02, 6.864970e-02,-3.113094e-02, 4.614285e-02, 7.019556e-02
"2008-12-10", 2.69, 2.69,0.020511411,0.013240544,0.019126317,0.020494707,0.017692654,0.022282168,0.016003968,0.016054657,0.021134238,0.018551172,0.020165342,0.023830128,0.024588534,0.016044033,0.020275774, 3.198588e-02, 3.269448e-03, 5.233339e-02, 2.240748e-02, 1.429749e-02, 1.509990e-02, 3.480590e-02, 1.185400e-02, 3.603834e-02, 3.899303e-02, 5.051623e-02,-1.023550e-02,-5.660850e-03,-1.156552e-02, 1.927187e-02,         -Inf,-1.892148e-03,-6.315972e-03,-3.933470e-03, 1.830812e-03,-5.161157e-05,-5.125400e-03, 6.742835e-05, 5.043934e-02,-4.356275e-03, 2.133033e-02, 1.090920e-02, 3.447813e-02
"2008-12-11", 2.63, 2.63,0.018159570,0.012674384,0.023863382,0.017164090,0.015511190,0.019857190,0.023587518,0.012955810,0.022942319,0.016527825,0.022821569,0.023930775,0.019418754,0.017120660,0.016118654,-3.211785e-03,-1.206188e-02,-9.782202e-04,-1.776414e-03, 6.035187e-03,-8.745729e-03, 2.318571e-03, 2.960764e-03, 7.018000e-03, 6.939874e-03,-2.769990e-03,-2.842831e-02,-2.315886e-02,-3.842621e-03,-3.218492e-03,          Inf,-1.851947e-03,-2.051900e-02,-7.711690e-03,-1.060042e-02,-1.290331e-05,-1.450089e-02,-8.259792e-03, 2.181465e-02, 9.756363e-02,-1.559759e-02, 3.203121e-02, 1.792856e-02
"2008-12-12", 2.58, 2.58,0.023443762,0.017457434,0.023527580,0.035530466,0.035575582,0.034594104,0.029158807,0.022545332,0.029049165,0.036484134,0.025537796,0.032557012,0.021334971,0.022087440,0.043957991,-2.752321e-02,-1.331375e-02, 4.614311e-03,-2.764418e-02,-2.604764e-02,-2.010991e-02,-5.634981e-02,-2.348842e-02,-4.455024e-02,-5.718330e-02, 4.108534e-04, 6.740022e-03,-3.871974e-02,-1.648460e-02,-2.595017e-02, 6.931472e-01,-1.358329e-03,-4.128670e-03, 1.681520e-03,-7.641124e-03,-2.580712e-05, 1.980983e-02, 5.297227e-03,-7.300190e-03,-3.607437e-02,-1.984552e-02,-2.923124e-03,-2.343943e-02
"2008-12-15", 2.50, 2.50,0.017981435,0.012310889,0.021461034,0.017927381,0.017679112,0.017669607,0.019567703,0.016173961,0.017442649,0.020559037,0.021714442,0.018789997,0.019466869,0.016648904,0.016173095,-2.503332e-03, 9.801712e-03, 1.458039e-02,-8.851812e-03,-7.017979e-06,-1.309676e-03, 1.936358e-02, 5.735270e-03, 4.966738e-02, 5.075368e-02, 2.028007e-02,-1.190266e-02, 4.997458e-03,-1.964282e-02,-5.168034e-03, 6.931472e-01, 8.765523e-04,-2.332316e-02,-8.368250e-03,-6.375750e-03, 3.871043e-05,-1.962986e-02,-2.679916e-02, 1.994868e-02,-3.899603e-02, 2.820632e-02,-9.411834e-03, 1.666894e-02
"2008-12-16", 2.33, 2.33,0.017024600,0.013813472,0.016746373,0.019577947,0.016022359,0.018993446,0.022064383,0.013831197,0.019697538,0.017230003,0.016406188,0.024977410,0.019415046,0.016758759,0.017897570, 2.099993e-03,-5.583840e-03, 1.459840e-02, 1.677821e-02, 7.481210e-03, 1.255221e-02, 5.518095e-03, 1.643227e-02, 1.456012e-03,-1.121602e-02, 2.010710e-02, 4.903113e-02, 5.450133e-03, 7.319515e-03, 1.509346e-02, 0.000000e+00,-4.673989e-04,-1.062833e-02,-4.823215e-03,-7.749402e-03, 6.451405e-05,-1.713104e-02,-2.745280e-03, 7.512989e-03,-2.065673e-02, 1.860355e-02, 1.466732e-02,-4.530116e-04
