"real_date","rate_prop","tariff_prop","war_prop","pro_prop_d","ship_prop_d","car_prop_d","chip_prop_d","invest_prop_d","house_prop","unemp_prop","emp_prop_d","job_prop_d","retail_prop_d","gov_prop","inf_prop_d","stock_prop_d","house_prop_d","trade_prop_d"
2020-10-07,0,0,0.00440852314474651,-0.00220426157237326,-0.000734753857457752,0.0014695077149155,0.000734753857457752,0,0.00367376928728876,0.000734753857457752,0,0.000734753857457752,-0.000734753857457752,0.00808229243203527,0,0.000734753857457752,-0.000734753857457752,-0.000734753857457752
2020-10-08,0,0,0.0148148148148148,-0.00246913580246914,0,0,0,0,0.00740740740740741,0,0.00246913580246914,0,0,0.00987654320987654,0,-0.00246913580246914,0,0
2020-10-09,0,0.00338983050847458,0.0135593220338983,0,0,0.00677966101694915,0,0.00338983050847458,0.0101694915254237,0,0,0,0,0.00338983050847458,0,0,0,0
2020-10-10,0,0,0.0165745856353591,0,0,0,0,0,0.00276243093922652,0,0,0.00552486187845304,0,0.00552486187845304,0,0,0.00276243093922652,0
2020-10-11,0.00343642611683849,0,0.0481099656357388,0.00343642611683849,0,0,0,0,0.00343642611683849,0,0,0,0.00687285223367698,0.00687285223367698,0,-0.00687285223367698,0,0
2020-10-12,0,0,0.0138648180242634,0.00173310225303293,0,0,0,0,0.00346620450606586,0.00346620450606586,0,0,0.00346620450606586,0.00346620450606586,-0.00173310225303293,0,0,0
2020-10-13,0,0,0.0285714285714286,0,0,0,0,0,0.00408163265306122,0,0,0,0,0,0,0,0.00408163265306122,0
2020-10-14,0.0165094339622642,0,0.0117924528301887,0.00117924528301887,0,0,0.00117924528301887,0,0.00589622641509434,0,0,0,0,0.00235849056603774,0.00117924528301887,0.00117924528301887,0.00117924528301887,0.00117924528301887
2020-10-15,0.000752445447705041,0,0.0105342362678706,0.00376222723852521,0,0.00150489089541008,0.00150489089541008,0,0.00451467268623025,0,0,0.000752445447705041,-0.000752445447705041,0.0105342362678706,0,0,0,0
2020-10-16,0,0,0.0111234705228031,0,0,0.00222469410456062,0.00111234705228031,0,0.00778642936596218,0.00111234705228031,-0.0100111234705228,0.00222469410456062,0,0.00333704115684093,0,0,0,0.00333704115684093
2020-10-17,0,0,0.0451612903225806,0,0,0,0,0,0,0,0,0.00645161290322581,0,0.00645161290322581,0,0,0,0
2020-10-18,0,0,0.0714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-19,0,0,0.00627943485086342,0.00470957613814757,0,0.00313971742543171,0,0,0.00941915227629513,0,0,0.00313971742543171,0,0.0141287284144427,0,-0.00156985871271586,0,0
2020-10-20,0,0,0.00868809730668984,0.00260642919200695,0,0,0,0,0.0052128583840139,0.000868809730668983,-0.000868809730668983,0,0,0.00868809730668984,0,-0.000868809730668983,0,0
2020-10-21,0,0.00233644859813084,0.00700934579439252,0.00233644859813084,0,-0.00116822429906542,0.00116822429906542,0,0.00350467289719626,0.00116822429906542,-0.00116822429906542,0.00116822429906542,0,0.0058411214953271,0,0,0.00116822429906542,0.00116822429906542
2020-10-22,0,0.000847457627118644,0.0144067796610169,0,0,0,0.000847457627118644,0,0.0076271186440678,0.000847457627118644,-0.00254237288135593,0,0,0.0076271186440678,0,0.000847457627118644,0,0
2020-10-23,0,0,0.0422794117647059,0.00183823529411765,0,0,0,0,0.00735294117647059,0,0.00183823529411765,0,0,0.00735294117647059,0.00183823529411765,0,0,0
2020-10-24,0,0,0.047808764940239,0,0,0,0,0,0.00398406374501992,0,0,0,0,0,0,0,0,0
2020-10-25,0,0,0.0311614730878187,-0.00141643059490085,0,0.0028328611898017,0.00141643059490085,0.00141643059490085,0.00424929178470255,0,0.00141643059490085,0.00141643059490085,0,0.0084985835694051,0,0,0,0
2020-10-26,0,0.00122249388753056,0.0256723716381418,0,0,0.00122249388753056,0.00122249388753056,0.00122249388753056,0.00122249388753056,0,0,0,0,0.00122249388753056,0,0,0,-0.00366748166259169
2020-10-27,0,0,0.0189370800244349,0.00183262064752596,0,0.00122174709835064,0.00122174709835064,0.0030543677458766,0.0128283445326817,0,0.00183262064752596,0.000610873549175321,0,0.0030543677458766,0,0.00183262064752596,0.000610873549175321,0
2020-10-28,0.0011037527593819,0,0.0121412803532009,0.00662251655629139,0,0.00551876379690949,0,0,0.00551876379690949,0.0011037527593819,0,0,0,0.011037527593819,0,-0.0011037527593819,0.0011037527593819,0.00441501103752759
2020-10-29,0.000925069380203515,0,0.00647548566142461,0.00555041628122109,0,0.00277520814061055,0.00185013876040703,0.000925069380203515,0.00647548566142461,0,0,0,0.000925069380203515,0.00925069380203515,0,0,0,0.00185013876040703
2020-10-30,0,0.004,0.008,0.0128,-8e-04,0.0048,0,0.0024,0.0064,0,0.0016,0,0,0.0064,0,-8e-04,0,8e-04
2020-10-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-02,0,0,0.00373134328358209,0.00186567164179104,0,0.000932835820895522,-0.000932835820895522,0.000932835820895522,0.0083955223880597,0,0.000932835820895522,0.000932835820895522,0,0.00746268656716418,0,0.00279850746268657,0,0.000932835820895522
2020-11-03,0,0,0.00532859680284192,0.00532859680284192,0,0,0,0.00177619893428064,0.00355239786856128,0,0,0.00532859680284192,0,0.0177619893428064,0,0.0088809946714032,0,0.00177619893428064
2020-11-04,0,0,0.00262295081967213,0,0,0.0039344262295082,0.000655737704918033,0,0.00327868852459016,0,0.000655737704918033,0.000655737704918033,0.000655737704918033,0.00852459016393443,0,0.0019672131147541,0.000655737704918033,0.00131147540983607
2020-11-05,0,0.000942507068803016,0.0056550424128181,0.000942507068803016,0,0,-0.000942507068803016,0,0.00282752120640905,0,0,0,0,0.00471253534401508,0,0,-0.000942507068803016,0.000942507068803016
2020-11-06,0.00671140939597315,0,0.0167785234899329,0.00335570469798658,0,0,0,0,0.0100671140939597,0.00335570469798658,-0.00671140939597315,0,0,0.00671140939597315,0,0,0.00335570469798658,0.0100671140939597
2020-11-07,0,0,0.0140845070422535,-0.00352112676056338,0,0,0,0,0.00352112676056338,0,0,0,0,0.00704225352112676,0,0,0,0
2020-11-08,0,0,0.00421940928270042,0,0,0.00421940928270042,0,0,0,0,0,0,0,0.0126582278481013,0,0,0,0
2020-11-09,0,0.000801282051282051,0.00881410256410256,0.0016025641025641,0,0.00240384615384615,0,0.000801282051282051,0.00400641025641026,0.0016025641025641,0.00480769230769231,0.000801282051282051,0,0.00881410256410256,0,0,0,0.000801282051282051
2020-11-10,0,0.000956022944550669,0.011472275334608,0.000956022944550669,0,0.00191204588910134,0.00191204588910134,-0.000956022944550669,0.00478011472275335,0.000956022944550669,0,0.000956022944550669,-0.00191204588910134,0.0124282982791587,0,0.000956022944550669,0,0.00669216061185468
2020-11-11,0,0.00532319391634981,0.00760456273764259,-0.000760456273764259,0,0.00304182509505703,0.00304182509505703,0,0.00228136882129278,0.00608365019011407,-0.00456273764258555,0.000760456273764258,-0.000760456273764259,0.00988593155893536,0,0.000760456273764259,0,0
2020-11-12,0,0.00199004975124378,0.0149253731343284,0,0,0,0,0.00099502487562189,0.00398009950248756,0,0.000995024875621891,0,0.00099502487562189,0.00995024875621891,0,0.00099502487562189,0,0.00199004975124378
2020-11-13,0,0,0.00313971742543171,0,0,0.00313971742543171,0,0.00313971742543171,0.00784929356357928,0.00156985871271586,0.00470957613814757,0.00313971742543171,0,0.00627943485086342,0,0.00156985871271586,0,0.00156985871271586
2020-11-14,0,0,0.0137931034482759,0,0,0,0,0,0.00689655172413793,0,0,0,0,0.00344827586206897,0,0,0,0
2020-11-15,0,0.00240384615384615,0.00480769230769231,0.00480769230769231,0,0,0,0.00240384615384615,0.00240384615384615,0.00240384615384615,0.00240384615384615,0,0,0.00721153846153846,0,0.00240384615384615,0,0.0817307692307692
2020-11-16,0,0.00353356890459364,0.00530035335689046,0.00706713780918728,0,0.00176678445229682,0.00176678445229682,0,0,0,-0.00176678445229682,0.00176678445229682,0,0.0106007067137809,0,0.00176678445229682,0,0.0212014134275618
2020-11-17,0,0,0.019774011299435,0,0,0.00282485875706215,0,0,0.0112994350282486,0,0,0,0,0.00564971751412429,0,0.00282485875706215,0,0
2020-11-18,0.000751314800901578,0,0.00375657400450789,0.00601051840721262,0,0.00150262960180316,0.000751314800901578,0,0.00525920360631104,0,0.000751314800901578,-0.000751314800901578,0,0.0067618332081142,0,0.00150262960180316,0,0.000751314800901578
2020-11-19,0,0.000982318271119843,0.00294695481335953,0.00196463654223969,0,0.00294695481335953,0.000982318271119843,0,0.0117878192534381,0,-0.00294695481335953,0.000982318271119843,0,0.0343811394891945,0,0,0,0.00196463654223969
2020-11-20,0,0,0.00918196994991653,-0.00500834724540901,0,0.00250417362270451,-0.00166944908180301,0,0.00667779632721202,0.000834724540901503,0.000834724540901502,0.00166944908180301,0,0.0141903171953255,0,0.00250417362270451,0,0.001669449081803
2020-11-21,0,0,0.0161290322580645,0,0,0,0,0,0,0,0,0,0,0.0161290322580645,0,0,0,0
