"date","rate_prop","tariff_prop","war_prop","pro_prop_d","ship_prop_d","car_prop_d","chip_prop_d","invest_prop_d","house_prop","unemp_prop","emp_prop_d","job_prop_d","retail_prop_d","gov_prop","inf_prop_d","stock_prop_d","house_prop_d","trade_prop_d"
2015-04-19,0,0,0.0024390243902439,0,0,0,0,0,0,0,0.0024390243902439,0,0,0.0024390243902439,0,0,0,0
2015-04-20,0,0,0.0028436018957346,-0.000947867298578199,0,0,0,0,0.0113744075829384,0,0.000947867298578199,0,0,0.000947867298578199,0,0,0,0
2015-04-21,0,0,0,0,0,0,0,0,0.00515463917525773,0,0,0,0,0,0,0,0,0
2015-04-22,0,0,0.00695047784535187,-0.000868809730668983,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-23,0,0,0.0032546786004882,0,0,0,0,0,0.00081366965012205,0,0,0,0,0,0,0,0,0
2015-04-24,0,0,0.00212539851222104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-25,0,0,0.00898203592814371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0275229357798165,0,0,0,0
2015-04-27,0,0,0.00465549348230913,0,0,0,0,0,0.000931098696461825,0,0,0,0,0.00931098696461825,0,0,0,0
2015-04-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00451467268623025,0,0,0,0
2015-04-29,0,0,0.00444444444444444,0,0,0,0,0,0.00444444444444444,0,0,0,0,0,0,0,0,0
2015-04-30,0.00133511348464619,0,0.00934579439252336,-0.00534045393858478,0,0,0,0,0.00133511348464619,0,0.00133511348464619,0.00133511348464619,0,0.00133511348464619,0,0,0,0
2015-05-01,0.000951474785918173,0,0.00285442435775452,-0.00190294957183635,0,0,0,0,0.000951474785918173,0,0.000951474785918173,0,0,0.00380589914367269,0,0,0,-0.000951474785918173
2015-05-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-03,0,0,0.00422832980972516,0,0,0,0,0,0.0126849894291755,0,0,0.00211416490486258,0,0,0,0,0,0
2015-05-04,0.000858369098712446,0,0.00429184549356223,0,0,0,0,0,0.00171673819742489,0,0,0.000858369098712446,0,0,0,0,0,0
2015-05-05,0,0,0.00115740740740741,0,0,0,0,0,0,0,0,0,0,0.00115740740740741,0,0,0,0
2015-05-06,0,0,0.00145560407569141,0,0,0,0,0,0.000727802037845706,0,0.000727802037845706,0,0,0,0,0,0,0
2015-05-07,0,0,0.00304259634888438,0.00101419878296146,0,0,0,0,0,0,0.00304259634888438,0,0,0.00101419878296146,0,0,0,0
2015-05-08,0,0,0.00433839479392625,0,0,0,0,0.00216919739696312,0,0,0,0,0,0,0,0,0,0
2015-05-09,0,0,0.00378787878787879,0,0,0,0,0,0,0,0.00378787878787879,0,0,0,0,0,0,0
2015-05-10,0,0,0.00431965442764579,0,0,0,0,0,0,0,0.00215982721382289,0,0,0,0,0,0,0
2015-05-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-12,0.00076103500761035,0,0.0045662100456621,0,0,0,0,0,0.00076103500761035,0,0.00076103500761035,0.00076103500761035,0,0.0015220700152207,0,0,0,0
2015-05-13,0,0,0.00200803212851406,0.000669344042838019,0,0.000669344042838019,0,0.000669344042838019,0.000669344042838019,0.00133868808567604,0.00133868808567604,0.00401606425702811,0,0.00334672021419009,0,0,0,0
2015-05-14,0,0,0.00745712155108128,0.00149142431021626,0,0,0,0.000745712155108128,0.00149142431021626,0.000745712155108128,0,0.00298284862043251,0.000745712155108128,0.00447427293064877,0,0,0,0
2015-05-15,0.00552995391705069,0.00184331797235023,0.0138248847926267,0.000921658986175115,0,0,0,0,0,0,0,0,0,0.000921658986175115,0,0,0,0
2015-05-16,0.00835654596100279,0,0.00835654596100279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-17,0,0,0,0,0,0,0,0,0.0327868852459016,0,0,0,0,0,0,0,0,0
2015-05-18,0.0016273393002441,0,0.0032546786004882,0,0,0,0,0,0,0,0.00081366965012205,0,0,0.00081366965012205,0,0,0,0
2015-05-19,0,0,0.00536672629695885,0,0,0,0,0,0.0035778175313059,0,0,0,0,0,0,0,0,0
2015-05-20,0,0,0.00155038759689922,0.00155038759689922,0,0,0,0,0,0,0.00155038759689922,0,0,0,0,0,0,0
2015-05-21,0.00131752305665349,0,0.00922266139657444,0.000658761528326746,0,0,0.00131752305665349,0.000658761528326746,0.00197628458498024,0,0,0,0,0,0,0,0,-0.000658761528326746
2015-05-22,0,0,0.00899280575539568,0,0,0,0,0,0,0,0.00179856115107914,0,0,0,0,0,0,0
2015-05-23,0,0,0.00245700245700246,-0.00491400491400491,0,0,0,0,0,0,0.00245700245700246,0,0,0,0,0,0,0
2015-05-24,0,0,0.0113895216400911,0,0,0,0,0,0,0.00227790432801822,0,0,0,0,0,0,0,0
2015-05-25,0.0014265335235378,0,0.00713266761768902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-26,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-27,0,0,0.00803212851405622,0,0,0,0,0,0.00401606425702811,0,0,0,0,0,0,0,0,0
2015-05-28,0,0,0.00158353127474268,0,0,0.00158353127474268,0,0.000791765637371338,0.00316706254948535,0,0,0,0,0.000791765637371338,0,0,0,0
2015-05-29,0,0,0.00894854586129754,0,0,0,0,0,0.00447427293064877,0,0,0,0,0,0,0,0,0
2015-05-30,0,0,0.00840336134453781,-0.00560224089635854,0,0,0,0,0,0,0,0,0,0,0,0,0,0
